song,artist,date,votes,ratings,views,favorites,comments,contributors,acoustic,tonality,capo,chords
Hallelujah,Jeff Buckley,1121385600,29967,4.87396,26764899,303706,526,14,0,Db,1,"C,Am,C,Am,C,Am,C,Am,F,G,C,G,C,F,G,Am,F,G,E7,Am,F,Am,F,C,G,C,G,C,Am,C,Am,F,G,C,G,C,F,G,Am,F,G,E7,Am,F,Am,F,C,G,C,G,C,Am,C,Am,F,G,C,G,C,F,G,Am,F,G,E7,Am,F,Am,F,C,G,C,G,C,Am,C,Am,F,G,C,G,C,F,G,Am,F,G,E7,Am,F,Am,F,C,G,C,G,C,Am,C,Am,F,G,C,G,C,F,G,Am,F,G,E7,Am,F,Am,F,C,G,C,G"
All Of Me,John Legend,1369872001,14658,4.83602,22382892,340712,538,13,0,Em,1,"Em,C,G,D,Em,Cmaj7,G,D,Em,C,G,D,Em,Cmaj7,G,D,Em,Cadd9,G,D,Amadd9,Am,G,D,Amadd9,G,D,G,Emadd9,D,G,Emadd9,D,Em,C,G,Dadd9,Em,C,G,Dadd9,Em,C,G,D,Em,C,G,D,Em,C,G,D,Em,C,G,D,Am,Am,G,D,Amadd9,G,D,G,Emadd9,D,G,Emadd9,D,Em,C,G,Dadd9,Em,C,G,Dadd9,Am,G,D,Amadd9,Am,G,D,G,Emadd9,D,G,Emadd9,D,Em,C,G,Dadd9,Em,C,G,Dadd9,Em,C,G,D,Em,C,G,D"
Let Her Go,Passenger,1331596801,12024,4.84701,20743429,363720,392,24,0,Am,7,"G,F,G,Am,G,F,G,Am,G,F,G,Am,G,F,G,Am,F,C,G,Am,F,C,G,F,C,G,Am,F,C,G,Am,F,G,Em,Am,F,G,Am,F,G,Em,Am,F,G,Am,F,G,Em,Am,F,G,F,C,G,Am,F,C,G,F,C,G,Am,F,C,G,Am,F,G,Em,Am,F,G,Am,F,G,Em,Am,F,G,F,C,G,Am,F,C,G,F,C,G,Am,F,C,G,Am,F,G,Am,F,G,Am,F,G,Em,Am,F,G,F,C,G,Am,F,C,G,F,C,G,Am,F,C,G,F,C,G,Am,F,C,G"
Im Yours,Jason Mraz,1521876577,9289,4.71162,18150659,283048,400,3,0,B,4,"G,D,Em,C,G,D,Em,C,G,D,Em,C,G,D,Em,C,G,D,Em,C,G,D,Em,C,G,D,Em,C,A7,G,D,Em,C,G,D,Em,C,G,G,D,Em,D,C,A7,G,Bm,Em,D,C,A7,G,D,Em,C,G,D,Em,C,G,D,Em,C,G,D,Em,C,G,D,Em,C,A7"
Perfect,Ed Sheeran,1488453515,20055,4.86194,18112916,308953,642,14,0,Ab,1,"G,G,Em,C,D,G,Em,C,D,G,Em,C,G,D,G,Em,C,D,Em,C,G,D,Em,C,G,D,Em,C,G,D,Em,C,G,D,G,G,D/F#,Em,D,C,D,G,Em,C,D,G,Em,C,D,G,Em,C,G,D,G,Em,C,D,Em,C,G,D,Em,C,G,D,Em,C,G,D,Em,C,G,D,G,G,Em,C,D,Em,C,G,D,Em,C,G,D,Em,C,G,D,Em,C,G,D,C,Dadd4,D,G,G,D/F#,Em,D,C,D,G"
Thinking Out Loud,Ed Sheeran,1400876262,9032,4.84358,15846806,269021,228,7,0,D,2,"C,F,G,C,F,G,C,F,G,C,F,G,C,F,G,C,F,G,C,F,G,C,F,G,Dm,G,C,Dm,G,Dm,G,Am,Dm,G,C,F,G,C,F,G,C,F,G,C,F,G,Am,G,F,Dm,G,C,C,F,G,C,F,G,C,F,G,C,F,G,C,F,G,C,F,G,C,F,G,C,F,G,Dm,G,C,Dm,G,Dm,G,Am,Dm,G,C,F,G,C,F,G,C,F,G,C,F,G,Am,G,F,Dm,G,C,C,F,G,C,F,G,C,F,G,C,F,G,C,F,G,C,F,G,C,F,G,C,F,G,Am,G,F,Dm,G,C,Am,G,F,Dm,G,C,Am,G,F,Dm,G,C"
The Scientist,Coldplay,1114560000,8511,4.87426,14328453,208782,306,8,0,Bm,3,"Bm7,Dm7,G,Bb,G,D,F,Dsus2,Fsus2,Dmaj7,A,C,A7,C7,Bm7,G,G,D,Dsus2,Bm7,G,G,D,Dsus2,Bm7,G,G,D,Dsus2,Bm7,G,G,D,Dsus2,Bm7,G,G,D,Dsus2,Bm7,G,G,D,Dsus2,G,G,D,Dsus2,G,G,D,Dsus2,A,A7,D,D,G,G,D,D,Dmaj7,Bm7,G,D,Dsus2,Bm7,G,G,D,Dsus2,Bm7,G,G,D,Dsus2,Bm7,G,G,D,Dsus2,Bm7,G,G,D,Dsus2,D,G,G,D,Dsus2,G,G,D,Dsus2,A,A7,D,D,G,D,D,Bm7,G,D,D,Bm7,G,D,Bm7,G,D,Bm7,G,D,Bm7,G,D"
Someone Like You,Adele,1290643201,2520,4.74447,14278520,121923,98,7,0,A,0,"A,A/G#,F#m,D,A,A/G#,F#m,D,A,A/G#,F#m,D,A,A/G#,F#m,D,E9,F#m,D,E9,F#m,D,D,A,E,F#m,D,A,E,F#m,D,A,E,F#m,D,A,E,F#m,D,A,E,F#m,D,A,A/G#,F#m,D,A,A/G#,F#m,D,E,F#m,D,D,E,F#m,D,D,A,E,F#m,D,A,E,F#m,D,A,E,F#m,D,A,E,F#m,D,F#m/C#,D,Bm,A/C#,D,A,E,F#m,D,A,E,F#m,D,A,E,F#m,D,A,E,F#m,D,A,E,F#m,D,A,E,F#m,D,A,E,F#m,D,A,E,F#m,D,A,E,F#m,D,A,E,F#m,D"
Cant Help Falling In Love,Elvis Presley,1314230401,12506,4.8699,13086185,309893,253,6,0,C,2,"C,G,Am,C,G,C,Em,Am,F,C,G,F,G,Am,F,C,G,C,C,Em,Am,F,C,G,F,G,Am,F,C,G,C,Em,B7,Em,B7,Em,B7,Em,A7,Dm,G,C,Em,Am,F,C,G,F,G,Am,F,C,G,C,Em,B7,Em,B7,Em,B7,Em,A7,Dm,G,C,Em,Am,F,C,G,F,G,Am,F,C,G,C,F,G,Am,F,C,G,C,C,D,Em,F#m,Am,Bm,F,G,G,A,B7,C#7,A7,B7,Dm,Em"
When I Was Your Man,Bruno Mars,1354579201,9734,4.86368,12631516,207756,183,6,0,C,0,"D7,Dm,C,D7,Dm,C,Am,C,Dm,G,G7,C,Am,C,Dm,G,C,Am,Em,Bb,G,F,G,C,F,G,C,F,G,Am,D7,F,Fm,C,F,C,Am,C,Dm,G,G7,C,Am,C,Dm,G,C,Am,Em,Bb,G,F,G,C,F,G,C,F,G,Am,D7,F,Fm,C,F,G,C,Am,D7,Dm,G,F,G,C,F,G,C,F,G,Am,D7,F,Fm,C,D7,F,Fm,C"
